Equipo,Tampa Bay Lightning,Dallas Stars,Colorado Avalanche,Montreal Canadiens,Nashville Predators,Winnipeg Jets,Ottawa Senators,Washington Capitals,Seattle Kraken,Los Angeles Kings,St. Louis Blues,Florida Panthers,Arizona Coyotes,Anaheim Ducks,Buffalo Sabres,Detroit Red Wings,New York Rangers,Columbus Blue Jackets,Carolina Hurricanes,Pittsburgh Penguins,New Jersey Devils,Vancouver Canucks,Edmonton Oilers,San Jose Sharks,Toronto Maple Leafs,Calgary Flames,Boston Bruins,Vegas Golden Knights,New York Islanders,Chicago Blackhawks,Philadelphia Flyers,Minnesota Wild
New Jersey Devils,1608.638367825578,2196.891795115265,2612.7229893669446,531.3556997295059,1210.5315496587696,2056.9534026561028,526.7413679993504,317.87821812811654,3863.6376860012215,3932.7392594370813,1393.061586497793,1713.666670900101,3448.988591335241,3910.503631456419,457.6008693651734,762.1549390446829,15.115049370239827,755.0272628960975,676.5891677713374,493.5671231477114,0.0,3900.504871055723,3251.5274579036623,4099.0807465790085,537.9187897851017,3253.3531006621056,316.4551132041604,3585.016122458379,37.689980808748125,1136.7504704638109,125.6224982703104,1612.4248672586414
Vancouver Canucks,4184.845348694435,2845.147504292167,1779.217654842243,3696.4041451138455,3271.573878615558,1869.3857232741789,3537.7997011655443,3801.1112506990407,192.42585504234435,1738.5484270732088,2864.9330253713565,4473.57025964288,1965.3451763885896,1771.6720207797418,3443.2103807869853,3167.3293348506054,3912.406718273444,3302.170854622805,3873.959073628412,3494.439453980138,3900.504871055723,0.0,819.0723005791068,1330.6560324753025,3368.205672502637,675.6545099209823,4034.0123736010178,1599.236581683507,3934.0184834353017,2855.6879037898884,3875.9322402100756,2311.7132322002217
Edmonton Oilers,3809.6508164850134,2660.5911119154007,1663.062819235467,2981.93728320367,2831.5410157538927,1197.794389934715,2837.5985060267017,3200.9264943299363,908.5278844151544,2199.538157749753,2427.9629089455234,4090.4137579463913,2225.885747071033,2220.3177056296845,2797.2995928855835,2565.122319859799,3261.9309235941014,2743.1066342324493,3336.8011800393674,2897.1860680635136,3251.5274579036623,819.0723005791068,0.0,1915.0288961167723,2713.657759050716,281.7719858852435,3344.4109302496554,1942.9478284375953,3282.1574951511243,2311.312585255318,3245.864672798215,1756.8300028966157
San Jose Sharks,3815.179450820281,2336.185537684649,1494.7116534424015,4076.980990816921,3121.308799363132,2419.1078188446504,3894.408540063191,3899.559493930335,1143.5456203868025,491.2836865849214,2774.791802422554,4093.0137879613203,970.9660355114648,534.7353056540215,3678.9027304723463,3341.590294768024,4113.466573426649,3371.6523532037936,3834.9367899932195,3618.6878279515513,4099.0807465790085,1330.6560324753025,1915.0288961167723,0.0,3631.6048141634756,1644.7739996626876,4321.586390083796,615.8002039465124,4136.482253763108,2962.3398735168994,4033.176481397258,2545.435884978583
Toronto Maple Leafs,1763.7650424598012,1937.6738369130205,2167.669449708956,505.1752199326523,1043.5478823994479,1519.2166355052261,330.4263360835486,562.7581178125547,3336.4489825737055,3504.1969521037317,1064.6446314465481,1941.714475038733,3052.2744108034785,3485.6694904935202,94.60566089469356,332.8420732738622,548.5481940109207,507.2197353548538,872.2887381071293,359.42838155673235,537.9187897851017,3368.205672502637,2713.657759050716,3631.6048141634756,0.0,2717.3694804939696,692.4770465347943,3148.2333320278503,569.1649539968179,706.3148709430667,543.0983074583813,1103.2867911868907
Calgary Flames,3685.157686740653,2467.234170539033,1438.2244890581228,3027.69604966638,2727.0183173106957,1204.5609270964933,2872.515357124213,3174.360996558027,712.4167928307612,1918.4877599837043,2319.0146441067313,3970.0372383851823,1949.948991898019,1938.9282702496243,2795.889112158392,2537.0086544845713,3264.7038372740217,2692.7931515689256,3278.4043647032167,2867.845209278013,3253.3531006621056,675.6545099209823,281.7719858852435,1644.7739996626876,2717.3694804939696,0.0,3372.7794682007166,1661.751731428683,3285.835477688987,2250.7722040669237,3236.351627940036,1696.5470027545548
Boston Bruins,1903.2476934144279,2497.2403097163947,2849.2324812423094,401.77206443264737,1518.1105271334088,2168.2203513591744,508.88054177278207,634.1209466831159,4011.6909700332403,4180.841061859775,1670.8759725326743,1987.0283633537733,3712.27790932727,4160.628066957157,643.354002447219,987.2926309549188,303.29010028009264,1036.1068760471878,984.0667493415671,776.1423046903006,316.4551132041604,4034.0123736010178,3344.4109302496554,4321.586390083796,692.4770465347943,3372.7794682007166,0.0,3827.987171942881,288.381115672418,1372.5271122986815,440.4017503892992,1795.0400894007632
Vegas Golden Knights,3204.2375323609103,1724.682082313758,980.7341803043605,3618.231136498432,2547.1690756272155,2112.677364317858,3432.8235223002853,3363.7398775415886,1409.8489293811579,362.70468633508574,2223.1563878666384,3480.3902155814703,390.5396286168905,354.30735219287106,3185.753001847173,2840.784686262742,3599.7736363764166,2841.1029847056657,3269.531093580955,3095.855191956967,3585.016122458379,1599.236581683507,1942.9478284375953,615.8002039465124,3148.2333320278503,1661.751731428683,3827.987171942881,0.0,3622.6890133394945,2455.911403311645,3509.4936928214024,2103.1434423580513
New York Islanders,1626.1687567170384,2232.352830353381,2650.311560214784,531.6743270913718,1244.9820865888098,2088.368344896027,540.0123377920495,346.6067582596796,3897.996384999602,3970.429216646863,1430.3949407664936,1725.5068367180118,3486.5610772246787,3948.1919719472266,490.8083386814755,798.9349298178091,23.015680870593076,792.4405491156042,698.3280331000674,531.0996026959582,37.689980808748125,3934.0184834353017,3282.1574951511243,4136.482253763108,569.1649539968179,3285.835477688987,288.381115672418,3622.6890133394945,0.0,1174.1425630075987,152.35868072665136,1647.9782130335288
Chicago Blackhawks,1617.3909926521205,1291.90622615916,1478.8298800651287,1204.103138696082,639.9090794246265,1152.8061625820703,1020.5775435270027,962.4364296374451,2794.3162663468847,2808.315958011941,420.44254480963406,1869.5417906877587,2347.0994669813194,2788.2338941636626,732.5790701062509,385.380665580704,1151.1268878344777,446.7457537383659,1028.1451520163926,664.2853235435962,1136.7504704638109,2855.6879037898884,2311.312585255318,2962.3398735168994,706.3148709430667,2250.7722040669237,1372.5271122986815,2455.911403311645,1174.1425630075987,0.0,1075.2490909329301,555.7387375833854
Philadelphia Flyers,1486.120789940228,2089.7358022902413,2542.3084831599454,635.2143568189684,1099.3131342669192,2048.3986521472552,602.5779808726279,194.31730860854043,3832.7223241634592,3854.1614345387256,1303.3212389228568,1597.5907603994945,3362.8871833091403,3830.900688828292,452.7894188151271,714.9768873135924,137.5735710477027,669.4407902382856,551.6690976415503,414.63910171744556,125.6224982703104,3875.9322402100756,3245.864672798215,4033.176481397258,543.0983074583813,3236.351627940036,440.4017503892992,3509.4936928214024,152.35868072665136,1075.2490909329301,0.0,1574.2025008741225
Minnesota Wild,2110.115727408047,1386.7405270329823,1136.5673653129265,1531.5453334924694,1112.0824839356842,628.7894233176439,1349.2901117536405,1489.774057755215,2260.295332855837,2465.2582540086264,741.7998338049488,2377.8422870011327,2074.673543779854,2452.309913278937,1163.9087589843048,859.9312026127335,1625.4823704363705,996.317404640617,1583.7552784807249,1183.415148595907,1612.4248672586414,2311.7132322002217,1756.8300028966157,2545.435884978583,1103.2867911868907,1696.5470027545548,1795.0400894007632,2103.1434423580513,1647.9782130335288,555.7387375833854,1574.2025008741225,0.0
