Date,Visitor,G,Home,G.1,Unnamed: 5,Att.,LOG,Notes
8/2/2021,Tampa Bay Lightning,4,Nashville Predators,1,,,02:28,
8/2/2021,New York Islanders,2,New York Rangers,0,,,02:16,
8/2/2021,Edmonton Oilers,3,Ottawa Senators,1,,,02:25,
8/2/2021,Arizona Coyotes,4,St. Louis Blues,3,SO,,02:42,
8/2/2021,Vancouver Canucks,1,Toronto Maple Leafs,3,,,02:18,
9/2/2021,Winnipeg Jets,2,Calgary Flames,3,,,02:22,
9/2/2021,Chicago Blackhawks,2,Dallas Stars,1,OT,4059.0,02:22,
9/2/2021,Detroit Red Wings,1,Florida Panthers,2,,3477.0,02:14,
9/2/2021,San Jose Sharks,4,Los Angeles Kings,3,SO,,02:30,
9/2/2021,Tampa Bay Lightning,6,Nashville Predators,1,,,02:33,
9/2/2021,Edmonton Oilers,3,Ottawa Senators,2,,,02:26,
9/2/2021,Anaheim Ducks,4,Vegas Golden Knights,5,,,02:23,
10/2/2021,Toronto Maple Leafs,4,Montreal Canadiens,2,,,02:23,
10/2/2021,Boston Bruins,3,New York Rangers,2,OT,,02:32,
11/2/2021,Columbus Blue Jackets,6,Chicago Blackhawks,5,,,02:19,
11/2/2021,Carolina Hurricanes,5,Dallas Stars,3,,3687.0,02:41,
11/2/2021,Tampa Bay Lightning,2,Florida Panthers,5,,3808.0,02:21,
11/2/2021,San Jose Sharks,2,Los Angeles Kings,6,,,02:24,
11/2/2021,Edmonton Oilers,3,Montreal Canadiens,0,,,02:21,
11/2/2021,Detroit Red Wings,2,Nashville Predators,3,,,02:22,
11/2/2021,Pittsburgh Penguins,4,New York Islanders,3,SO,,02:40,at Nassau Veterans Memorial Coliseum (Uniondale NY)
11/2/2021,Calgary Flames,3,Vancouver Canucks,1,,,02:26,
11/2/2021,Anaheim Ducks,1,Vegas Golden Knights,0,,,02:11,
11/2/2021,Ottawa Senators,1,Winnipeg Jets,5,,,02:16,
12/2/2021,St. Louis Blues,4,Arizona Coyotes,1,,2457.0,02:29,
12/2/2021,Boston Bruins,1,New York Rangers,0,,,02:30,
13/2/2021,St. Louis Blues,5,Arizona Coyotes,4,OT,3237.0,02:34,
13/2/2021,Columbus Blue Jackets,2,Chicago Blackhawks,3,OT,,02:20,
13/2/2021,Carolina Hurricanes,4,Dallas Stars,3,SO,4071.0,02:43,
13/2/2021,Tampa Bay Lightning,6,Florida Panthers,1,,4509.0,02:32,
13/2/2021,Detroit Red Wings,4,Nashville Predators,2,,,02:20,
13/2/2021,Boston Bruins,2,New York Islanders,4,,,02:30,at Nassau Veterans Memorial Coliseum (Uniondale NY)
13/2/2021,Vegas Golden Knights,3,San Jose Sharks,1,,,02:27,
13/2/2021,Montreal Canadiens,2,Toronto Maple Leafs,1,,,02:12,
13/2/2021,Calgary Flames,1,Vancouver Canucks,3,,,02:25,
13/2/2021,Ottawa Senators,2,Winnipeg Jets,1,,,02:17,
14/2/2021,Washington Capitals,3,Pittsburgh Penguins,6,,,02:30,
14/2/2021,Colorado Avalanche,0,Vegas Golden Knights,1,,,02:23,
15/2/2021,St. Louis Blues,0,Arizona Coyotes,1,,2554.0,02:21,
15/2/2021,New York Islanders,3,Buffalo Sabres,1,,,02:19,
15/2/2021,Columbus Blue Jackets,3,Carolina Hurricanes,7,,,02:37,
15/2/2021,Chicago Blackhawks,3,Detroit Red Wings,2,OT,,02:23,
15/2/2021,Winnipeg Jets,6,Edmonton Oilers,5,,,02:24,
15/2/2021,Anaheim Ducks,2,San Jose Sharks,3,,,02:23,
15/2/2021,Florida Panthers,6,Tampa Bay Lightning,4,,100.0,02:35,
15/2/2021,Ottawa Senators,6,Toronto Maple Leafs,5,OT,,02:40,
15/2/2021,Calgary Flames,4,Vancouver Canucks,3,OT,,02:32,
16/2/2021,New York Islanders,3,Buffalo Sabres,0,,,02:27,
16/2/2021,Minnesota Wild,0,Los Angeles Kings,4,,,02:31,
