Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date
18/11/2018,Dallas Stars,6,New York Islanders,2,,10650,02:24,,2018-11-18
19/11/2018,Vegas Golden Knights,2,Calgary Flames,7,,17635,02:23,,2018-11-19
19/11/2018,Washington Capitals,5,Montreal Canadiens,4,OT,21911,02:52,,2018-11-19
19/11/2018,Tampa Bay Lightning,2,Nashville Predators,3,,17419,02:29,,2018-11-19
19/11/2018,Dallas Stars,1,New York Rangers,2,,17071,02:22,,2018-11-19
19/11/2018,Florida Panthers,7,Ottawa Senators,5,,11570,02:41,,2018-11-19
19/11/2018,Buffalo Sabres,5,Pittsburgh Penguins,4,OT,18618,02:37,,2018-11-19
19/11/2018,Los Angeles Kings,2,St. Louis Blues,0,,16860,02:21,,2018-11-19
19/11/2018,Columbus Blue Jackets,2,Toronto Maple Leafs,4,,19134,02:32,,2018-11-19
19/11/2018,Winnipeg Jets,6,Vancouver Canucks,3,,17917,02:32,,2018-11-19
20/11/2018,Edmonton Oilers,4,San Jose Sharks,3,OT,17562,02:30,,2018-11-20
21/11/2018,Vancouver Canucks,3,Anaheim Ducks,4,,16091,02:32,,2018-11-21
21/11/2018,Vegas Golden Knights,3,Arizona Coyotes,2,OT,14151,02:39,,2018-11-21
21/11/2018,Philadelphia Flyers,2,Buffalo Sabres,5,,19070,02:26,,2018-11-21
21/11/2018,Toronto Maple Leafs,2,Carolina Hurricanes,5,,12562,02:31,,2018-11-21
21/11/2018,Winnipeg Jets,3,Calgary Flames,6,,17661,02:35,,2018-11-21
21/11/2018,Boston Bruins,2,Detroit Red Wings,3,OT,19515,02:29,at Little Caesars Arena (Detroit MI),2018-11-21
21/11/2018,Colorado Avalanche,7,Los Angeles Kings,3,,17840,02:40,,2018-11-21
21/11/2018,Ottawa Senators,4,Minnesota Wild,6,,19035,02:36,,2018-11-21
21/11/2018,Montreal Canadiens,2,New Jersey Devils,5,,16514,02:24,,2018-11-21
21/11/2018,St. Louis Blues,1,Nashville Predators,4,,17558,02:39,,2018-11-21
21/11/2018,New York Islanders,0,New York Rangers,5,,17297,02:25,,2018-11-21
21/11/2018,Dallas Stars,1,Pittsburgh Penguins,5,,18430,02:18,,2018-11-21
21/11/2018,Florida Panthers,3,Tampa Bay Lightning,7,,19092,02:28,,2018-11-21
21/11/2018,Chicago Blackhawks,2,Washington Capitals,4,,18506,02:30,,2018-11-21
23/11/2018,Edmonton Oilers,1,Anaheim Ducks,2,OT,16497,02:23,,2018-11-23
23/11/2018,Colorado Avalanche,5,Arizona Coyotes,1,,12029,02:30,,2018-11-23
23/11/2018,Pittsburgh Penguins,1,Boston Bruins,2,OT,17565,02:41,,2018-11-23
23/11/2018,Montreal Canadiens,2,Buffalo Sabres,3,OT,19070,02:37,,2018-11-23
23/11/2018,Florida Panthers,1,Carolina Hurricanes,4,,13226,02:28,,2018-11-23
23/11/2018,Toronto Maple Leafs,2,Columbus Blue Jackets,4,,18656,02:21,,2018-11-23
23/11/2018,Ottawa Senators,4,Dallas Stars,6,,18532,02:40,,2018-11-23
23/11/2018,Winnipeg Jets,2,Minnesota Wild,4,,19116,02:42,,2018-11-23
23/11/2018,New York Islanders,4,New Jersey Devils,3,OT,16514,02:38,,2018-11-23
23/11/2018,New York Rangers,0,Philadelphia Flyers,4,,19523,02:31,,2018-11-23
23/11/2018,Vancouver Canucks,0,San Jose Sharks,4,,17056,02:21,,2018-11-23
23/11/2018,Nashville Predators,2,St. Louis Blues,6,,16192,02:30,,2018-11-23
23/11/2018,Chicago Blackhawks,2,Tampa Bay Lightning,4,,19092,02:20,,2018-11-23
