Date,visitor,G,home,G.1,Unnamed: 5,Att.,LOG,Notes,game_date,original_month,original_day,home_team,visitor_team,game_month,game_day,original_month_number,game_month_number,original_date,source,reschedule,day_difference
24/1/2021,Toronto Maple Leafs,3,Calgary Flames,2,,,02:22,,2021-01-24,,,,,,,,,,,0.0,
24/1/2021,Detroit Red Wings,2,Chicago Blackhawks,6,,,02:11,,2021-01-24,,,,,,,,,,,0.0,
25/1/2021,Ottawa Senators,1,Vancouver Canucks,7,,,02:30,,2021-01-25,,,,,,,,,,,0.0,
22/2/2021,Tampa Bay Lightning,4,Carolina Hurricanes,2,,,02:33,,2021-01-26,Jan.,26.0,Hurricanes,Lightning,Feb.,22.0,1.0,2.0,2021-01-26,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,27.0
26/1/2021,New York Islanders,2,Washington Capitals,3,,,02:25,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,Edmonton Oilers,4,Winnipeg Jets,6,,,02:21,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,Chicago Blackhawks,2,Nashville Predators,3,OT,,02:28,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,St. Louis Blues,5,Vegas Golden Knights,4,SO,,02:41,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,Los Angeles Kings,2,Minnesota Wild,1,,,02:22,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,Detroit Red Wings,1,Dallas Stars,2,OT,4109.0,02:26,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,San Jose Sharks,3,Colorado Avalanche,7,,,02:32,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,Toronto Maple Leafs,4,Calgary Flames,3,,,02:24,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,Florida Panthers,4,Columbus Blue Jackets,3,SO,,02:29,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,New York Rangers,2,Buffalo Sabres,3,,,02:22,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,Pittsburgh Penguins,2,Boston Bruins,3,OT,,02:40,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,Anaheim Ducks,1,Arizona Coyotes,0,,1808.0,02:25,,2021-01-26,,,,,,,,,,,0.0,
26/1/2021,Philadelphia Flyers,5,New Jersey Devils,3,,,02:24,,2021-01-26,,,,,,,,,,,0.0,
27/1/2021,Chicago Blackhawks,1,Nashville Predators,2,SO,,02:24,,2021-01-27,,,,,,,,,,,0.0,
27/1/2021,Ottawa Senators,1,Vancouver Canucks,5,,,02:22,,2021-01-27,,,,,,,,,,,0.0,
28/1/2021,Ottawa Senators,1,Vancouver Canucks,4,,,02:20,,2021-01-28,,,,,,,,,,,0.0,
22/3/2021,St. Louis Blues,1,Vegas Golden Knights,5,,3750.0,02:22,,2021-01-28,Jan.,28.0,Golden Knights,Blues,March,22.0,1.0,3.0,2021-01-28,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,53.0
28/1/2021,New York Islanders,3,Washington Capitals,6,,,02:28,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,Philadelphia Flyers,3,New Jersey Devils,1,,,02:19,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,New York Rangers,3,Buffalo Sabres,2,OT,,02:28,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,Los Angeles Kings,3,Minnesota Wild,5,,,02:32,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,Toronto Maple Leafs,4,Edmonton Oilers,3,,,02:22,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,Detroit Red Wings,3,Dallas Stars,7,,4214.0,02:27,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,San Jose Sharks,0,Colorado Avalanche,3,,,02:25,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,Florida Panthers,2,Columbus Blue Jackets,3,SO,,02:30,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,Tampa Bay Lightning,0,Carolina Hurricanes,1,OT,,02:23,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,Pittsburgh Penguins,1,Boston Bruins,4,,,02:15,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,Anaheim Ducks,2,Arizona Coyotes,3,,2252.0,02:25,,2021-01-28,,,,,,,,,,,0.0,
28/1/2021,Calgary Flames,2,Montreal Canadiens,4,,,02:27,,2021-01-28,,,,,,,,,,,0.0,
29/1/2021,Columbus Blue Jackets,2,Chicago Blackhawks,1,,,02:16,,2021-01-29,,,,,,,,,,,0.0,
30/1/2021,Boston Bruins,3,Washington Capitals,4,OT,,02:28,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,Vancouver Canucks,4,Winnipeg Jets,1,,,02:22,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,Pittsburgh Penguins,5,New York Rangers,4,OT,,02:27,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,New York Islanders,2,Philadelphia Flyers,3,OT,,02:19,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,Toronto Maple Leafs,3,Edmonton Oilers,4,OT,,02:31,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,Florida Panthers,3,Detroit Red Wings,2,OT,,02:30,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,Dallas Stars,1,Carolina Hurricanes,4,,,02:33,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,New Jersey Devils,3,Buffalo Sabres,4,SO,,02:39,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,St. Louis Blues,6,Anaheim Ducks,1,,,02:19,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,Colorado Avalanche,5,Minnesota Wild,1,,,02:31,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,Nashville Predators,3,Tampa Bay Lightning,4,,,02:35,,2021-01-30,,,,,,,,,,,0.0,
30/1/2021,Calgary Flames,2,Montreal Canadiens,0,,,02:31,,2021-01-30,,,,,,,,,,,0.0,
31/1/2021,Florida Panthers,3,Detroit Red Wings,2,,,02:29,,2021-01-31,,,,,,,,,,,0.0,
31/1/2021,New York Islanders,3,Philadelphia Flyers,4,OT,,02:25,,2021-01-31,,,,,,,,,,,0.0,
31/1/2021,Columbus Blue Jackets,1,Chicago Blackhawks,3,,,02:15,,2021-01-31,,,,,,,,,,,0.0,
31/1/2021,Dallas Stars,3,Carolina Hurricanes,4,SO,,02:42,,2021-01-31,,,,,,,,,,,0.0,
31/1/2021,New Jersey Devils,5,Buffalo Sabres,3,,,02:24,,2021-01-31,,,,,,,,,,,0.0,
31/1/2021,St. Louis Blues,4,Anaheim Ducks,1,,,02:23,,2021-01-31,,,,,,,,,,,0.0,
31/1/2021,Ottawa Senators,5,Edmonton Oilers,8,,,02:33,,2021-01-31,,,,,,,,,,,0.0,
31/1/2021,Colorado Avalanche,3,Minnesota Wild,4,OT,,02:31,,2021-01-31,,,,,,,,,,,0.0,
13/2/2021,Vegas Golden Knights,3,San Jose Sharks,1,,,02:27,,2021-02-01,Feb.,1.0,Sharks,Golden Knights,Feb.,13.0,2.0,2.0,2021-02-01,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,12.0
1/2/2021,Vancouver Canucks,2,Montreal Canadiens,6,,,02:20,,2021-02-01,,,,,,,,,,,0.0,
1/2/2021,Pittsburgh Penguins,1,New York Rangers,3,,,02:20,,2021-02-01,,,,,,,,,,,0.0,
1/2/2021,Nashville Predators,2,Tampa Bay Lightning,5,,,02:25,,2021-02-01,,,,,,,,,,,0.0,
1/2/2021,Calgary Flames,4,Winnipeg Jets,3,SO,,02:18,,2021-02-01,,,,,,,,,,,0.0,
1/2/2021,Boston Bruins,5,Washington Capitals,3,,,02:27,,2021-02-01,,,,,,,,,,,0.0,
2/2/2021,Carolina Hurricanes,4,Chicago Blackhawks,3,SO,,02:34,,2021-02-02,,,,,,,,,,,0.0,
22/2/2021,Buffalo Sabres,2,New York Islanders,3,,,02:23,at Nassau Veterans Memorial Coliseum (Uniondale NY),2021-02-02,Feb.,2.0,Islanders,Sabres,Feb.,22.0,2.0,2.0,2021-02-02,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,20.0
21/3/2021,New Jersey Devils,2,Pittsburgh Penguins,1,OT,2800.0,02:21,,2021-02-02,Feb.,2.0,Penguins,Devils,March,21.0,2.0,3.0,2021-02-02,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,47.0
2/2/2021,Minnesota Wild,1,Colorado Avalanche,2,,,02:29,,2021-02-02,,,,,,,,,,,0.0,
2/2/2021,Ottawa Senators,2,Edmonton Oilers,4,,,02:26,,2021-02-02,,,,,,,,,,,0.0,
2/2/2021,Calgary Flames,2,Winnipeg Jets,3,,,02:17,,2021-02-02,,,,,,,,,,,0.0,
2/2/2021,Arizona Coyotes,3,St. Louis Blues,4,,,02:30,,2021-02-02,,,,,,,,,,,0.0,
2/2/2021,Vancouver Canucks,3,Montreal Canadiens,5,,,02:28,,2021-02-02,,,,,,,,,,,0.0,
2/2/2021,Anaheim Ducks,3,Los Angeles Kings,1,,,02:19,,2021-02-02,,,,,,,,,,,0.0,
2/2/2021,Dallas Stars,6,Columbus Blue Jackets,3,,,02:21,,2021-02-02,,,,,,,,,,,0.0,
3/2/2021,Detroit Red Wings,1,Tampa Bay Lightning,5,,,02:18,,2021-02-03,,,,,,,,,,,0.0,
3/2/2021,Boston Bruins,4,Philadelphia Flyers,3,OT,,02:27,,2021-02-03,,,,,,,,,,,0.0,
20/4/2021,New Jersey Devils,6,Pittsburgh Penguins,7,,4672.0,02:31,,2021-02-04,Feb.,4.0,Penguins,Devils,April,20.0,2.0,4.0,2021-02-04,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,75.0
24/2/2021,Minnesota Wild,6,Colorado Avalanche,2,,,02:26,,2021-02-04,Feb.,4.0,Avalanche,Wild,Feb.,24.0,2.0,2.0,2021-02-04,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,20.0
4/3/2021,Buffalo Sabres,2,New York Islanders,5,,,02:17,at Nassau Veterans Memorial Coliseum (Uniondale NY),2021-02-04,Feb.,4.0,Islanders,Sabres,March,4.0,2.0,3.0,2021-02-04,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,28.0
4/2/2021,Carolina Hurricanes,4,Chicago Blackhawks,6,,,02:32,,2021-02-04,,,,,,,,,,,0.0,
4/2/2021,Calgary Flames,1,Winnipeg Jets,4,,,02:17,,2021-02-04,,,,,,,,,,,0.0,
4/2/2021,Dallas Stars,3,Columbus Blue Jackets,4,,,02:24,,2021-02-04,,,,,,,,,,,0.0,
4/2/2021,Nashville Predators,6,Florida Panthers,5,OT,3698.0,02:39,,2021-02-04,,,,,,,,,,,0.0,
4/2/2021,Ottawa Senators,3,Montreal Canadiens,2,,,02:26,,2021-02-04,,,,,,,,,,,0.0,
4/2/2021,Washington Capitals,2,New York Rangers,4,,,02:27,,2021-02-04,,,,,,,,,,,0.0,
4/2/2021,Arizona Coyotes,4,St. Louis Blues,3,,,02:22,,2021-02-04,,,,,,,,,,,0.0,
4/2/2021,Vancouver Canucks,3,Toronto Maple Leafs,7,,,02:25,,2021-02-04,,,,,,,,,,,0.0,
5/2/2021,Detroit Red Wings,1,Tampa Bay Lightning,3,,,02:21,,2021-02-05,,,,,,,,,,,0.0,
5/2/2021,Boston Bruins,2,Philadelphia Flyers,1,,,02:30,,2021-02-05,,,,,,,,,,,0.0,
5/2/2021,San Jose Sharks,5,Anaheim Ducks,4,SO,,02:41,,2021-02-05,,,,,,,,,,,0.0,
5/2/2021,Los Angeles Kings,2,Vegas Golden Knights,5,,,02:31,,2021-02-05,,,,,,,,,,,0.0,
5/2/2021,Nashville Predators,1,Florida Panthers,2,,,02:33,,2021-02-05,,,,,,,,,,,0.0,
16/3/2021,Arizona Coyotes,0,Minnesota Wild,3,,,02:23,,2021-02-06,Feb.,6.0,Wild,Coyotes,March,16.0,2.0,3.0,2021-02-06,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,38.0
6/2/2021,Pittsburgh Penguins,3,New York Islanders,4,,,02:15,at Nassau Veterans Memorial Coliseum (Uniondale NY),2021-02-06,,,,,,,,,,,0.0,
6/2/2021,Montreal Canadiens,2,Ottawa Senators,1,,,02:28,,2021-02-06,,,,,,,,,,,0.0,
6/2/2021,San Jose Sharks,1,Anaheim Ducks,2,SO,,02:36,,2021-02-06,,,,,,,,,,,0.0,
4/3/2021,New York Rangers,6,New Jersey Devils,1,,,02:27,,2021-02-06,Feb.,6.0,Devils,Rangers,March,4.0,2.0,3.0,2021-02-06,https://www.sportsnet.ca/nhl/article/nhl-covid-19-schedule-changes-every-postponed-game-2020-21/,1.0,26.0
6/2/2021,Arizona Coyotes,3,St. Louis Blues,1,,,02:21,,2021-02-06,,,,,,,,,,,0.0,
