game_week_day,game_date,game_year,game_time,visitor,visitor_pts,home,home_pts,overtime,att,season,game_month,game_day,game_month_number
Tue,2021-01-12,2021,8:00p,Los Angeles Lakers,117,Houston Rockets,100,,3221,2020/2021,Jan,12,1
Tue,2021-01-12,2021,8:00p,San Antonio Spurs,112,Oklahoma City Thunder,102,,0,2020/2021,Jan,12,1
Tue,2021-01-12,2021,10:30p,Indiana Pacers,104,Golden State Warriors,95,,0,2020/2021,Jan,12,1
Wed,2021-01-13,2021,7:00p,Dallas Mavericks,104,Charlotte Hornets,93,,0,2020/2021,Jan,13,1
Wed,2021-01-13,2021,7:00p,Milwaukee Bucks,110,Detroit Pistons,101,,0,2020/2021,Jan,13,1
Wed,2021-01-13,2021,7:30p,Brooklyn Nets,116,New York Knicks,109,,0,2020/2021,Jan,13,1
Wed,2021-01-13,2021,8:00p,Memphis Grizzlies,118,Minnesota Timberwolves,107,,0,2020/2021,Jan,13,1
Wed,2021-01-13,2021,8:00p,Los Angeles Lakers,128,Oklahoma City Thunder,99,,0,2020/2021,Jan,13,1
Wed,2021-01-13,2021,10:00p,New Orleans Pelicans,106,Los Angeles Clippers,111,,0,2020/2021,Jan,13,1
Wed,2021-01-13,2021,10:00p,Portland Trail Blazers,132,Sacramento Kings,126,,0,2020/2021,Jan,13,1
Thu,2021-01-14,2021,7:00p,Miami Heat,108,Philadelphia 76ers,125,,0,2020/2021,Jan,14,1
Thu,2021-01-14,2021,7:30p,Houston Rockets,109,San Antonio Spurs,105,,0,2020/2021,Jan,14,1
Thu,2021-01-14,2021,7:30p,Charlotte Hornets,108,Toronto Raptors,111,,0,2020/2021,Jan,14,1
Thu,2021-01-14,2021,10:00p,Golden State Warriors,104,Denver Nuggets,114,,0,2020/2021,Jan,14,1
Thu,2021-01-14,2021,10:00p,Indiana Pacers,111,Portland Trail Blazers,87,,0,2020/2021,Jan,14,1
Fri,2021-01-15,2021,7:30p,Orlando Magic,97,Boston Celtics,124,,0,2020/2021,Jan,15,1
Fri,2021-01-15,2021,7:30p,New York Knicks,103,Cleveland Cavaliers,106,,1944,2020/2021,Jan,15,1
Fri,2021-01-15,2021,7:30p,Dallas Mavericks,109,Milwaukee Bucks,112,,0,2020/2021,Jan,15,1
