Team,Distance,Schedule Type,League
Denver Nuggets,65047.947481392024,basic - low - 15_more_games - monthly,NBA
Portland Trail Blazers,68792.62269375104,basic - low - 15_more_games - monthly,NBA
Phoenix Suns,66466.70448698163,basic - low - 15_more_games - monthly,NBA
Miami Heat,65332.66919432079,basic - low - 15_more_games - monthly,NBA
Milwaukee Bucks,53509.09924361715,basic - low - 15_more_games - monthly,NBA
Charlotte Hornets,49851.21247787254,basic - low - 15_more_games - monthly,NBA
Detroit Pistons,51138.28462893508,basic - low - 15_more_games - monthly,NBA
Washington Wizards,53631.53105060853,basic - low - 15_more_games - monthly,NBA
New York Knicks,59972.10187629982,basic - low - 15_more_games - monthly,NBA
San Antonio Spurs,65581.35650362745,basic - low - 15_more_games - monthly,NBA
Utah Jazz,66655.92247856098,basic - low - 15_more_games - monthly,NBA
Sacramento Kings,74693.62789152944,basic - low - 15_more_games - monthly,NBA
Los Angeles Clippers,65279.40195977216,basic - low - 15_more_games - monthly,NBA
New Orleans Pelicans,76028.33808467946,basic - low - 15_more_games - monthly,NBA
Atlanta Hawks,51285.321395313695,basic - low - 15_more_games - monthly,NBA
Oklahoma City Thunder,53507.419073292935,basic - low - 15_more_games - monthly,NBA
Dallas Mavericks,61579.87239673661,basic - low - 15_more_games - monthly,NBA
Houston Rockets,66323.30573483201,basic - low - 15_more_games - monthly,NBA
Golden State Warriors,74822.44981154628,basic - low - 15_more_games - monthly,NBA
all,1887250.183589126,basic - low - 15_more_games - monthly,NBA
Brooklyn Nets,59315.36104639384,basic - low - 15_more_games - post_all_star,NBA
Los Angeles Lakers,64527.6845592153,basic - low - 15_more_games - post_all_star,NBA
Cleveland Cavaliers,51843.73718024445,basic - low - 15_more_games - post_all_star,NBA
Indiana Pacers,55925.05257024185,basic - low - 15_more_games - post_all_star,NBA
Orlando Magic,70091.29883043923,basic - low - 15_more_games - post_all_star,NBA
Philadelphia 76ers,57106.06156964434,basic - low - 15_more_games - post_all_star,NBA
Toronto Raptors,56061.62947294438,basic - low - 15_more_games - post_all_star,NBA
Boston Celtics,63829.40408164328,basic - low - 15_more_games - post_all_star,NBA
Chicago Bulls,54555.486446690076,basic - low - 15_more_games - post_all_star,NBA
Memphis Grizzlies,55097.748061643884,basic - low - 15_more_games - post_all_star,NBA
Minnesota Timberwolves,66262.8680798337,basic - low - 15_more_games - post_all_star,NBA
Denver Nuggets,65047.947481392024,basic - low - 15_more_games - post_all_star,NBA
Portland Trail Blazers,67173.56176447592,basic - low - 15_more_games - post_all_star,NBA
Phoenix Suns,66466.70448698163,basic - low - 15_more_games - post_all_star,NBA
Miami Heat,64429.04354682349,basic - low - 15_more_games - post_all_star,NBA
Milwaukee Bucks,53540.45732735029,basic - low - 15_more_games - post_all_star,NBA
Charlotte Hornets,49520.38049721599,basic - low - 15_more_games - post_all_star,NBA
Detroit Pistons,51138.28462893508,basic - low - 15_more_games - post_all_star,NBA
Washington Wizards,54506.12556797106,basic - low - 15_more_games - post_all_star,NBA
New York Knicks,59972.10187629982,basic - low - 15_more_games - post_all_star,NBA
San Antonio Spurs,61779.69109908096,basic - low - 15_more_games - post_all_star,NBA
Utah Jazz,65358.64908515962,basic - low - 15_more_games - post_all_star,NBA
Sacramento Kings,71877.18320681939,basic - low - 15_more_games - post_all_star,NBA
Los Angeles Clippers,65279.40195977216,basic - low - 15_more_games - post_all_star,NBA
New Orleans Pelicans,64767.54807505551,basic - low - 15_more_games - post_all_star,NBA
Atlanta Hawks,51285.321395313695,basic - low - 15_more_games - post_all_star,NBA
Oklahoma City Thunder,53507.419073292935,basic - low - 15_more_games - post_all_star,NBA
Dallas Mavericks,61579.87239673661,basic - low - 15_more_games - post_all_star,NBA
Houston Rockets,65897.94773628825,basic - low - 15_more_games - post_all_star,NBA
Golden State Warriors,72352.13982803228,basic - low - 15_more_games - post_all_star,NBA
all,1820096.112931931,basic - low - 15_more_games - post_all_star,NBA
Brooklyn Nets,62220.314961607764,basic - low - 25_more_games - monthly,NBA
Los Angeles Lakers,75579.45847675388,basic - low - 25_more_games - monthly,NBA
Cleveland Cavaliers,52512.09384301076,basic - low - 25_more_games - monthly,NBA
Indiana Pacers,56493.72378827532,basic - low - 25_more_games - monthly,NBA
