home,visitor,game_date,Schedule Type,League
Florida Panthers,Tampa Bay Lightning,2021-02-13,Actual,NHL
Nashville Predators,Detroit Red Wings,2021-02-13,Actual,NHL
New York Islanders,Boston Bruins,2021-02-13,Actual,NHL
San Jose Sharks,Vegas Golden Knights,2021-02-13,Actual,NHL
Toronto Maple Leafs,Montreal Canadiens,2021-02-13,Actual,NHL
Vancouver Canucks,Calgary Flames,2021-02-13,Actual,NHL
Winnipeg Jets,Ottawa Senators,2021-02-13,Actual,NHL
Pittsburgh Penguins,Washington Capitals,2021-02-14,Actual,NHL
Vegas Golden Knights,Colorado Avalanche,2021-02-14,Actual,NHL
Arizona Coyotes,St. Louis Blues,2021-02-15,Actual,NHL
Buffalo Sabres,New York Islanders,2021-02-15,Actual,NHL
Carolina Hurricanes,Columbus Blue Jackets,2021-02-15,Actual,NHL
Detroit Red Wings,Chicago Blackhawks,2021-02-15,Actual,NHL
Edmonton Oilers,Winnipeg Jets,2021-02-15,Actual,NHL
San Jose Sharks,Anaheim Ducks,2021-02-15,Actual,NHL
Tampa Bay Lightning,Florida Panthers,2021-02-15,Actual,NHL
Toronto Maple Leafs,Ottawa Senators,2021-02-15,Actual,NHL
Vancouver Canucks,Calgary Flames,2021-02-15,Actual,NHL
Buffalo Sabres,New York Islanders,2021-02-16,Actual,NHL
Los Angeles Kings,Minnesota Wild,2021-02-16,Actual,NHL
New York Rangers,New Jersey Devils,2021-02-16,Actual,NHL
Pittsburgh Penguins,Washington Capitals,2021-02-16,Actual,NHL
Vegas Golden Knights,Colorado Avalanche,2021-02-16,Actual,NHL
Carolina Hurricanes,Florida Panthers,2021-02-17,Actual,NHL
Calgary Flames,Vancouver Canucks,2021-02-17,Actual,NHL
Detroit Red Wings,Chicago Blackhawks,2021-02-17,Actual,NHL
Edmonton Oilers,Winnipeg Jets,2021-02-17,Actual,NHL
Toronto Maple Leafs,Ottawa Senators,2021-02-17,Actual,NHL
Anaheim Ducks,Minnesota Wild,2021-02-18,Actual,NHL
Arizona Coyotes,Los Angeles Kings,2021-02-18,Actual,NHL
Boston Bruins,New Jersey Devils,2021-02-18,Actual,NHL
Columbus Blue Jackets,Nashville Predators,2021-02-18,Actual,NHL
Philadelphia Flyers,New York Rangers,2021-02-18,Actual,NHL
Pittsburgh Penguins,New York Islanders,2021-02-18,Actual,NHL
St. Louis Blues,San Jose Sharks,2021-02-18,Actual,NHL
Toronto Maple Leafs,Ottawa Senators,2021-02-18,Actual,NHL
