home,visitor,game_date,Schedule Type,League
Los Angeles Kings,Minnesota Wild,2021-01-16,Actual,NHL
New Jersey Devils,Boston Bruins,2021-01-16,Actual,NHL
Nashville Predators,Columbus Blue Jackets,2021-01-16,Actual,NHL
New York Rangers,New York Islanders,2021-01-16,Actual,NHL
Ottawa Senators,Toronto Maple Leafs,2021-01-16,Actual,NHL
Vegas Golden Knights,Anaheim Ducks,2021-01-16,Actual,NHL
Florida Panthers,Chicago Blackhawks,2021-01-17,Actual,NHL
Pittsburgh Penguins,Washington Capitals,2021-01-17,Actual,NHL
Anaheim Ducks,Minnesota Wild,2021-01-18,Actual,NHL
Calgary Flames,Vancouver Canucks,2021-01-18,Actual,NHL
Detroit Red Wings,Columbus Blue Jackets,2021-01-18,Actual,NHL
Edmonton Oilers,Montreal Canadiens,2021-01-18,Actual,NHL
Nashville Predators,Carolina Hurricanes,2021-01-18,Actual,NHL
